01_Clase,02_Orden,03_Familia,04_Nombre científico I,05_Nombre científico II,06_Nombre vernáculo,07_CITES,08_Categoría amenaza nacional Res. 1912/2017,09_Endemismo,10_Migratoria,11_Introducida/Invasora,12_Distribución,Amagá,Amalfi,Andes,Angelópolis,Angostura,Anorí,Anzá,Armenia,Barbosa,Bello,Belmira,Betania,Betulia,Briceño,Buriticá,Cáceres,Caicedo,Caldas,Campamento,Caracolí,Caramanta,Carolina del Príncipe,Caucasia,Cisneros,Ciudad Bolívar,Concordia,Copacabana,Donmatías,Ebéjico,El Bagre,Entrerríos,Envigado,Fredonia,Girardota,Gómez Plata,Guadalupe,Heliconia,Hispania,Itagüí,Ituango,Jardín,Jericó,La Estrella,La Pintada,Liborina,Maceo,Medellín,Montebello,Nechí,Olaya,Pueblorrico,Puerto Berrío,Puerto Nare,Remedios,Sabanalarga,Sabaneta,Salgar,San Andrés de Cuerquia,San Jerónimo,San José de la Montaña,San Pedro de los Milagros,Santa Bárbara,Santa Fe de Antioquia,Santa Rosa de Osos,Segovia,Sopetrán,Támesis,Tarazá,Tarso,Titiribí,Toledo,Valdivia,Valparaíso,Vegachí,Venecia,Yalí,Yarumal,Yolombó,Yondó,Zaragoza
AVES,PSITTACIFORMES,Psittacidae,Ara ararauna,Psittacus ararauna,Guacamaya azul y amarilla,II,,,,,0-500,,30,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,,,19; 30,,,,,,,,,,,,,,,30
AVES,PSITTACIFORMES,Psittacidae,Ara chloropterus,Ara chloroptera,Guacamaya roja,II,,,,,0-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,
AVES,PSITTACIFORMES,Psittacidae,Ara macao,Psittacus macao,Guacamaya bandera,I,,,,,0-500,,30,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,30,,,,,,,,,,,,,,,30
AVES,PSITTACIFORMES,Psittacidae,Ara militaris,Psittacus militaris,Guacamaya verde,I,VU,,,,0-2000,,30,,,,30,22,22,,,,,22,18,,,,,,,,,,,,,,,22,,,,22,,,,,,,18; 35,,22,,,,,,,,,,,,,,,,,,,,,,,30,,,,22,,,18,,,22,,,,,30
AVES,PSITTACIFORMES,Psittacidae,Ara severus,Ara severa,Guacamaya cariseca,II,,,,,0-1000,,,,,,,22,22,,,,,22,,,,,,,,,,,,,,,,22,,,,22,,,,,,,,,22,,,,10,,,,,,10,,,,,,,,,,,,,,,,29; 31,22,,,,,,22,,,,,
AVES,PSITTACIFORMES,Psittacidae,Bolborhynchus lineola,Psittacula lineola,Periquito barrado,II,,,,,1600-2600,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVES,PSITTACIFORMES,Psittacidae,Brotogeris jugularis,Psittacus jugularis,Periquito bronceado,II,,,,,0-1000,,30; 44,,,,30,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,,,,,,,,,,,23,,19; 30,,,29; 31,,,,,,,,,,,,30
AVES,PSITTACIFORMES,Psittacidae,Eupsittula pertinax,Aratinga pertinax,Perico carisucio,II,,,,,0-1000,,44,,,,,,,,,,,,,,,,,,,,,14,,,,,,,24,,,,,,,,,,,,37,,37,,,,,,,,,,,,,,,,,,,23,,,,37,,37,,,,37,,37,,,,,
AVES,PSITTACIFORMES,Psittacidae,Forpus conspicillatus,Psittacula conspicillata,Periquito cascabelito,II,,,,,200-2600,36,44,,,,,5; 22; 26,22,,,,,22,34,,,5,36,,,38,13,,28,,,,42,22,,,,22,,,,,,,,,22; 37,,37; 38,41,10,,,,,11,10,,,,,11,,,,,,5; 23; 26,42,19,,37,29; 31,22; 37,36,,,37; 38,,22; 36; 37,,34,,,
AVES,PSITTACIFORMES,Psittacidae,Hapalopsittaca amazonina,Psittacus amazoninus,Cotorra montañera,II,VU,REST,,,2000-3600,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
AVES,PSITTACIFORMES,Psittacidae,Ognorhynchus icterotis,Conurus icterotis,Loro orejiamarillo,I,EN,REST,,,1200-3480,,,7; 25,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,7; 21; 25,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
